[2022/06/16 16:52:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.
0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                 
Files already downloaded and verified                                                                                                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                                                           
[2022/06/16 16:52:12] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss        Test Robust Acc                                        
[2022/06/17 01:40:53] - 146      186.9           28.7            0.0100          1.5851          0.3815          1.9299                  0.2279                  1.3776          0.6651          1.6578                  0.4729
[2022/06/17 01:44:29] - 147      186.9           28.7            0.0100          1.5880          0.4041          1.9328                  0.2402                  1.3971          0.6471          1.6650                  0.4647
[2022/06/17 01:48:05] - 148      186.9           28.7            0.0100          1.5989          0.3534          1.9394                  0.2124                  1.1781          0.6960          1.5280                  0.4909
[2022/06/17 01:51:40] - 149      187.0           28.7            0.0010          1.5783          0.3701          1.9255                  0.2236                  1.3360          0.6567          1.6267                  0.4699
[2022/06/17 01:55:16] - 150      186.9           28.7            0.0010          1.5631          0.3791          1.9011                  0.2318                  1.1290          0.7231          1.4864                  0.5058
[2022/06/17 01:58:52] - 151      186.9           28.7            0.0010          1.5699          0.3926          1.9049                  0.2364                  0.9430          0.7501          1.3956                  0.5028
[2022/06/17 02:02:28] - 152      186.9           28.7            0.0010          1.5687          0.3721          1.9040                  0.2266                  0.9263          0.7603          1.3479                  0.5262
[2022/06/17 02:06:04] - 153      186.9           28.8            0.0010          1.5712          0.3819          1.9049                  0.2313                  1.2215          0.7139          1.5573                  0.4940
[2022/06/17 02:09:39] - 154      186.9           28.7            0.0010          1.5476          0.3787          1.8884                  0.2332                  0.9004          0.7600          1.3546                  0.5150
[2022/06/17 02:13:15] - 155      186.9           28.7            0.0010          1.5418          0.3773          1.8866                  0.2312                  0.9103          0.7676          1.3877                  0.5023
[2022/06/17 02:16:51] - 156      186.9           28.7            0.0010          1.4776          0.4047          1.8407                  0.2492                  1.0625          0.7343          1.4728                  0.4980
