[2022/06/28 20:21:20] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.2, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.2', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
[2022/06/28 20:21:35] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/29 02:33:28] - 109      170.8           31.8            0.0100          0.5721          0.8515          1.0727                  0.5848                  0.5867          0.8293          1.3197                  0.4968
[2022/06/29 02:36:51] - 110      170.8           31.8            0.0100          0.5643          0.8554          1.0660                  0.5864                  0.6098          0.8258          1.3229                  0.5071
[2022/06/29 02:40:14] - 111      170.8           31.8            0.0100          0.5545          0.8600          1.0552                  0.5877                  0.5855          0.8355          1.3286                  0.4956
[2022/06/29 02:43:36] - 112      170.8           31.8            0.0100          0.5488          0.8613          1.0495                  0.5933                  0.5631          0.8363          1.3301                  0.4991
[2022/06/29 02:46:59] - 113      170.8           31.8            0.0100          0.5453          0.8604          1.0452                  0.5939                  0.5903          0.8319          1.3210                  0.5002
[2022/06/29 02:50:21] - 114      170.8           31.8            0.0100          0.5350          0.8651          1.0386                  0.5951                  0.5805          0.8310          1.3704                  0.4823
[2022/06/29 02:53:44] - 115      170.8           31.8            0.0100          0.5309          0.8679          1.0333                  0.5974                  0.5740          0.8327          1.3497                  0.4937
[2022/06/29 02:57:07] - 116      170.8           31.8            0.0100          0.5267          0.8671          1.0309                  0.5980                  0.5557          0.8375          1.3738                  0.4913
[2022/06/29 03:00:29] - 117      170.8           31.8            0.0100          0.5228          0.8719          1.0272                  0.5990                  0.5746          0.8320          1.3587                  0.4934
[2022/06/29 03:03:52] - 118      170.8           31.8            0.0100          0.5212          0.8703          1.0254                  0.5978                  0.5887          0.8268          1.3325                  0.4943
[2022/06/29 03:07:14] - 119      170.8           31.8            0.0100          0.5142          0.8721          1.0194                  0.5996                  0.5715          0.8276          1.3574                  0.4937
[2022/06/29 03:10:37] - 120      170.8           31.8            0.0100          0.5121          0.8737          1.0198                  0.6022                  0.5901          0.8320          1.3459                  0.4977
[2022/06/29 03:14:00] - 121      170.8           31.8            0.0100          0.5068          0.8748          1.0134                  0.6039                  0.5725          0.8413          1.3550                  0.4961
[2022/06/29 03:17:23] - 122      170.8           31.8            0.0100          0.5016          0.8782          1.0087                  0.6018                  0.5820          0.8345          1.3506                  0.4944
[2022/06/29 03:20:45] - 123      170.8           31.8            0.0100          0.4990          0.8772          1.0013                  0.6051                  0.5777          0.8345          1.3992                  0.4874
[2022/06/29 03:24:08] - 124      170.8           31.7            0.0100          0.4970          0.8810          1.0037                  0.6032                  0.5812          0.8279          1.3968                  0.4920
[2022/06/29 03:27:30] - 125      170.7           31.8            0.0100          0.4926          0.8816          1.0008                  0.6037                  0.6086          0.8332          1.3690                  0.4897
[2022/06/29 03:30:53] - 126      170.8           31.8            0.0100          0.4925          0.8797          0.9990                  0.6065                  0.5558          0.8301          1.4374                  0.4847
[2022/06/29 03:34:15] - 127      170.8           31.8            0.0100          0.4874          0.8814          0.9924                  0.6099                  0.5899          0.8249          1.4066                  0.4849
[2022/06/29 03:37:38] - 128      170.8           31.8            0.0100          0.4863          0.8823          0.9946                  0.6062                  0.5671          0.8366          1.3812                  0.4921
[2022/06/29 03:41:01] - 129      170.8           31.8            0.0100          0.4794          0.8866          0.9869                  0.6082                  0.5772          0.8337          1.3968                  0.4929
[2022/06/29 03:44:23] - 130      170.8           31.8            0.0100          0.4786          0.8849          0.9874                  0.6103                  0.6070          0.8359          1.4158                  0.4793
[2022/06/29 03:47:46] - 131      170.8           31.8            0.0100          0.4768          0.8865          0.9857                  0.6117                  0.5704          0.8343          1.4180                  0.4808
[2022/06/29 03:51:09] - 132      170.9           31.8            0.0100          0.4720          0.8880          0.9801                  0.6109                  0.5519          0.8359          1.4496                  0.4762
[2022/06/29 03:54:31] - 133      170.9           31.8            0.0100          0.4751          0.8863          0.9827                  0.6113                  0.5730          0.8333          1.3935                  0.4924
[2022/06/29 03:57:54] - 134      170.8           31.8            0.0100          0.4684          0.8903          0.9762                  0.6136                  0.5783          0.8312          1.3999                  0.4932
[2022/06/29 04:01:16] - 135      170.8           31.8            0.0100          0.4671          0.8889          0.9756                  0.6138                  0.5680          0.8309          1.4396                  0.4842
[2022/06/29 04:04:39] - 136      170.8           31.8            0.0100          0.4622          0.8914          0.9672                  0.6170                  0.5415          0.8351          1.4789                  0.4727
[2022/06/29 04:08:01] - 137      170.8           31.7            0.0100          0.4597          0.8909          0.9679                  0.6181                  0.6207          0.8240          1.3885                  0.4920
[2022/06/29 04:11:24] - 138      170.8           31.8            0.0100          0.4593          0.8941          0.9667                  0.6160                  0.5512          0.8378          1.4540                  0.4836
[2022/06/29 04:14:47] - 139      170.8           31.8            0.0100          0.4611          0.8930          0.9675                  0.6136                  0.5821          0.8305          1.4308                  0.4812
[2022/06/29 04:18:10] - 140      170.9           31.8            0.0100          0.4522          0.8948          0.9591                  0.6205                  0.5493          0.8338          1.4490                  0.4778
[2022/06/29 04:21:32] - 141      170.9           31.8            0.0100          0.4550          0.8943          0.9644                  0.6181                  0.5628          0.8206          1.4492                  0.4788
[2022/06/29 04:24:55] - 142      170.9           31.8            0.0100          0.4513          0.8961          0.9579                  0.6195                  0.5826          0.8313          1.4339                  0.4794
[2022/06/29 04:28:18] - 143      170.8           31.8            0.0100          0.4493          0.8950          0.9579                  0.6202                  0.5466          0.8360          1.5135                  0.4690
[2022/06/29 04:31:40] - 144      170.8           31.8            0.0100          0.4448          0.8979          0.9516                  0.6209                  0.5405          0.8402          1.4561                  0.4832
[2022/06/29 04:35:03] - 145      170.8           31.8            0.0100          0.4414          0.8978          0.9475                  0.6227                  0.5501          0.8350          1.4439                  0.4888
[2022/06/29 04:38:25] - 146      170.9           31.8            0.0100          0.4422          0.8971          0.9470                  0.6221                  0.5609          0.8329          1.4562                  0.4776
[2022/06/29 04:41:48] - 147      170.8           31.8            0.0100          0.4386          0.8993          0.9451                  0.6236                  0.5333          0.8414          1.5194                  0.4688
[2022/06/29 04:45:11] - 148      170.8           31.8            0.0100          0.4381          0.8988          0.9444                  0.6232                  0.5485          0.8380          1.4513                  0.4782
[2022/06/29 04:48:33] - 149      170.9           31.8            0.0010          0.4339          0.8996          0.9378                  0.6258                  0.5576          0.8312          1.4697                  0.4716
[2022/06/29 04:51:56] - 150      170.9           31.8            0.0010          0.3972          0.9108          0.8298                  0.6668                  0.4898          0.8528          1.4858                  0.4830
[2022/06/29 04:55:19] - 151      170.8           31.8            0.0010          0.3613          0.9168          0.7813                  0.6832                  0.4860          0.8540          1.4604                  0.4865
[2022/06/29 04:58:42] - 152      170.9           31.8            0.0010          0.3453          0.9218          0.7620                  0.6896                  0.4745          0.8560          1.4908                  0.4852
[2022/06/29 05:02:04] - 153      170.9           31.8            0.0010          0.3336          0.9244          0.7438                  0.6954                  0.4552          0.8614          1.5420                  0.4787
[2022/06/29 05:05:27] - 154      170.9           31.8            0.0010          0.3250          0.9268          0.7358                  0.7007                  0.4690          0.8569          1.5469                  0.4834
[2022/06/29 05:08:50] - 155      170.9           31.8            0.0010          0.3186          0.9303          0.7245                  0.7022                  0.4678          0.8555          1.5530                  0.4817
[2022/06/29 05:12:12] - 156      170.8           31.8            0.0010          0.3129          0.9319          0.7159                  0.7062                  0.4532          0.8565          1.6162                  0.4782
[2022/06/29 05:15:35] - 157      170.8           31.8            0.0010          0.3090          0.9306          0.7080                  0.7106                  0.4552          0.8587          1.6070                  0.4779
[2022/06/29 05:18:57] - 158      170.9           31.8            0.0010          0.3028          0.9316          0.7005                  0.7095                  0.4670          0.8566          1.6341                  0.4737
[2022/06/29 05:22:20] - 159      170.8           31.8            0.0010          0.2972          0.9336          0.6900                  0.7166                  0.4442          0.8603          1.6262                  0.4732
[2022/06/29 05:25:43] - 160      170.9           31.8            0.0010          0.2930          0.9346          0.6836                  0.7182                  0.4797          0.8514          1.6379                  0.4679
